current_final_score,score_last_week,score_two_weeks_ago,score_change_7d,score_change_14d,assignments_submitted,assignments_total,submission_rate,days_since_last_grade,class_average,score_vs_class_avg,is_at_risk
51.17,57.59,46.34,-6.43,4.82,13,14,0.9286,4,61.99,-10.82,0
85.89,86.66,82.47,-0.77,3.42,6,7,0.8571,2,79.51,6.38,0
30.7,34.36,38.83,-3.66,-8.14,1,5,0.2,29,64.87,-34.17,1
94.64,100.0,80.74,-6.89,13.9,8,13,0.6154,1,63.06,31.58,0
56.56,53.86,38.77,2.7,17.79,8,12,0.6667,2,61.41,-4.85,0
53.92,57.25,55.19,-3.34,-1.28,5,5,1.0,6,64.39,-10.47,0
40.24,40.48,45.59,-0.24,-5.35,5,8,0.625,21,55.93,-15.69,1
67.29,66.9,78.07,0.39,-10.78,7,7,1.0,3,79.13,-11.84,0
90.42,92.66,100.0,-2.25,-12.91,5,5,1.0,3,58.32,32.1,0
84.3,84.94,89.16,-0.64,-4.86,4,5,0.8,6,61.27,23.03,0
22.83,12.14,29.6,10.69,-6.77,1,3,0.3333,5,66.06,-43.23,1
23.29,21.66,0.84,1.63,22.45,5,7,0.7143,27,56.19,-32.91,1
57.62,59.65,65.77,-2.04,-8.15,12,14,0.8571,6,56.02,1.6,0
83.78,89.34,84.37,-5.56,-0.6,6,7,0.8571,3,59.33,24.45,0
69.13,59.87,55.9,9.26,13.23,4,4,1.0,1,70.65,-1.52,0
91.11,97.0,86.49,-5.89,4.62,7,10,0.7,0,76.68,14.43,0
88.45,83.95,70.36,4.49,18.09,1,3,0.3333,4,68.64,19.81,0
68.53,66.85,74.76,1.69,-6.23,2,3,0.6667,4,76.12,-7.59,0
48.51,52.24,52.06,-3.73,-3.55,1,7,0.1429,17,78.42,-29.91,1
34.63,34.32,29.68,0.3,4.95,0,7,0.0,28,75.17,-40.54,1
69.81,62.14,75.72,7.67,-5.92,10,10,1.0,3,65.72,4.08,0
86.22,78.39,86.01,7.83,0.21,8,8,1.0,2,57.5,28.72,0
53.55,56.02,43.71,-2.47,9.84,13,14,0.9286,6,78.77,-25.22,0
80.33,91.08,84.8,-10.75,-4.47,9,11,0.8182,2,60.32,20.01,0
87.5,76.62,83.46,10.88,4.05,8,14,0.5714,1,75.92,11.58,0
90.25,98.88,94.08,-8.64,-3.83,7,11,0.6364,2,72.66,17.59,0
22.97,16.04,27.74,6.93,-4.77,8,9,0.8889,17,73.83,-50.87,1
54.01,52.14,39.25,1.87,14.75,8,13,0.6154,1,63.26,-9.25,0
62.18,53.51,81.33,8.66,-19.15,6,6,1.0,4,75.57,-13.39,1
82.69,85.93,96.89,-3.24,-14.2,8,14,0.5714,0,76.71,5.97,0
53.71,52.37,53.59,1.34,0.13,7,7,1.0,2,72.39,-18.67,0
25.82,30.03,35.49,-4.21,-9.67,0,3,0.0,26,69.61,-43.79,1
52.18,52.85,42.42,-0.67,9.76,12,14,0.8571,1,59.7,-7.52,0
66.96,71.52,65.46,-4.55,1.5,9,11,0.8182,2,72.45,-5.49,0
64.86,61.43,55.15,3.43,9.71,3,5,0.6,5,78.74,-13.89,0
79.44,75.24,80.77,4.2,-1.32,4,4,1.0,4,59.12,20.32,0
87.32,85.28,87.46,2.04,-0.14,11,13,0.8462,1,64.52,22.8,0
90.42,91.11,78.04,-0.69,12.38,5,5,1.0,0,55.34,35.08,0
44.21,34.38,41.96,9.83,2.25,4,5,0.8,27,74.22,-30.01,1
90.78,92.66,100.0,-1.88,-15.99,3,3,1.0,4,70.15,20.63,0
43.51,52.71,30.73,-9.2,12.78,6,10,0.6,6,66.91,-23.4,1
64.77,68.15,39.38,-3.38,25.39,9,9,1.0,4,70.98,-6.21,0
93.35,92.13,92.86,1.22,0.5,3,4,0.75,1,64.81,28.55,0
93.4,92.2,100.0,1.2,-21.71,9,10,0.9,5,70.55,22.85,0
95.58,100.0,96.13,-10.22,-0.56,10,10,1.0,1,70.52,25.06,0
60.04,70.95,50.89,-10.92,9.15,8,11,0.7273,5,72.44,-12.4,0
44.38,38.39,46.73,5.98,-2.35,12,13,0.9231,22,70.05,-25.67,1
48.76,56.44,61.78,-7.68,-13.02,4,8,0.5,10,58.02,-9.25,1
59.9,59.56,82.73,0.34,-22.83,7,13,0.5385,1,74.99,-15.08,1
53.92,54.6,56.13,-0.67,-2.21,1,3,0.3333,2,59.61,-5.69,0
32.97,18.72,36.07,14.24,-3.11,7,9,0.7778,6,73.69,-40.72,1
28.84,25.38,25.72,3.46,3.11,11,13,0.8462,17,76.68,-47.85,1
69.06,67.3,73.95,1.76,-4.89,9,14,0.6429,6,63.05,6.01,0
31.46,21.34,22.65,10.12,8.82,0,5,0.0,17,66.99,-35.53,1
85.37,72.86,71.46,12.51,13.91,10,14,0.7143,1,62.09,23.27,0
81.0,92.49,71.59,-11.48,9.41,8,8,1.0,0,60.93,20.07,0
25.35,29.25,30.22,-3.9,-4.87,13,13,1.0,28,77.42,-52.07,1
38.36,36.74,38.86,1.62,-0.5,1,8,0.125,24,79.24,-40.88,1
89.22,93.56,94.55,-4.34,-5.33,4,5,0.8,0,72.96,16.26,0
72.88,75.46,67.93,-2.58,4.95,12,12,1.0,3,65.64,7.24,0
61.64,60.08,70.68,1.56,-9.04,8,8,1.0,5,58.86,2.78,0
75.56,76.46,79.64,-0.89,-4.07,11,12,0.9167,6,68.72,6.84,0
43.96,29.62,50.0,14.34,-6.04,5,5,1.0,21,76.27,-32.31,1
69.61,72.66,82.03,-3.05,-12.42,2,3,0.6667,3,76.05,-6.44,0
47.83,50.76,52.16,-2.93,-4.33,4,7,0.5714,9,60.89,-13.06,1
93.58,88.66,100.0,4.92,-17.07,4,4,1.0,5,77.49,16.09,0
75.91,63.92,91.7,11.99,-15.8,1,3,0.3333,6,64.6,11.31,0
93.51,98.82,90.64,-5.31,2.87,6,8,0.75,6,73.26,20.25,0
58.0,58.08,47.46,-0.08,10.54,7,9,0.7778,3,79.94,-21.94,0
83.94,86.92,80.06,-2.98,3.88,4,6,0.6667,1,74.06,9.87,0
66.42,58.7,70.87,7.72,-4.45,4,7,0.5714,6,65.22,1.2,0
50.59,42.6,30.59,7.98,19.99,9,12,0.75,2,63.64,-13.06,0
51.8,62.47,36.84,-10.67,14.96,12,12,1.0,2,58.83,-7.04,0
74.28,75.5,73.81,-1.22,0.47,10,14,0.7143,3,57.56,16.73,0
87.92,91.54,74.91,-3.62,13.02,11,11,1.0,2,73.41,14.51,0
94.43,100.0,95.69,-5.94,-1.26,5,7,0.7143,5,59.66,34.77,0
65.94,72.27,73.24,-6.33,-7.29,6,7,0.8571,0,73.61,-7.66,0
47.57,53.06,45.11,-5.49,2.46,0,6,0.0,15,78.07,-30.5,1
73.08,72.11,65.33,0.97,7.75,10,13,0.7692,2,58.52,14.56,0
37.44,32.62,39.02,4.83,-1.57,0,3,0.0,15,70.81,-33.36,1
43.22,44.84,54.29,-1.61,-11.07,14,14,1.0,12,67.55,-24.33,1
53.22,57.91,46.48,-4.7,6.74,4,5,0.8,5,59.77,-6.55,0
36.52,40.8,35.46,-4.28,1.06,1,5,0.2,6,68.36,-31.84,1
73.86,76.0,71.47,-2.14,2.38,10,10,1.0,6,78.65,-4.8,0
63.0,69.66,45.47,-6.66,17.52,8,9,0.8889,1,76.67,-13.68,0
76.48,81.11,82.72,-4.62,-6.24,6,10,0.6,6,69.24,7.25,0
76.72,71.55,70.49,5.17,6.23,8,10,0.8,3,78.61,-1.89,0
34.22,37.84,36.79,-3.62,-2.57,6,12,0.5,5,60.2,-25.97,1
26.35,36.37,8.7,-10.02,17.65,0,4,0.0,19,70.62,-44.27,1
89.61,91.58,90.57,-1.98,-0.97,3,6,0.5,4,65.24,24.37,0
70.93,69.67,71.9,1.27,-0.97,7,8,0.875,0,76.71,-5.78,0
92.94,94.95,79.48,-2.01,13.46,3,5,0.6,5,73.54,19.4,0
69.32,65.62,81.32,3.7,-12.0,4,6,0.6667,1,77.51,-8.19,0
82.79,82.07,69.67,0.72,13.12,10,12,0.8333,0,61.85,20.94,0
81.27,84.08,76.0,-2.81,5.27,12,12,1.0,4,61.59,19.68,0
85.14,80.88,98.47,4.27,-13.33,6,7,0.8571,1,77.86,7.28,0
68.39,72.14,68.13,-3.75,0.26,13,14,0.9286,2,59.61,8.78,0
46.98,42.04,48.23,4.95,-1.25,6,13,0.4615,12,69.16,-22.18,1
81.86,81.28,80.07,0.57,1.79,2,3,0.6667,3,68.5,13.36,0
49.45,47.21,59.94,2.25,-10.49,4,4,1.0,13,56.88,-7.42,1
73.78,77.55,55.66,-3.76,18.12,7,9,0.7778,2,56.94,16.84,0
53.87,47.96,59.81,5.91,-5.94,1,3,0.3333,0,78.76,-24.89,0
58.89,52.5,57.69,6.39,1.2,10,10,1.0,0,71.47,-12.58,0
90.76,91.18,100.0,-0.42,-16.61,8,13,0.6154,0,78.6,12.16,0
44.7,39.78,43.36,4.91,1.34,6,7,0.8571,13,59.81,-15.12,1
34.76,30.82,26.85,3.94,7.92,6,6,1.0,7,62.98,-28.22,1
51.78,60.21,46.77,-8.43,5.01,12,14,0.8571,1,77.12,-25.35,0
71.17,62.5,90.21,8.67,-19.05,6,10,0.6,3,74.77,-3.6,0
80.04,78.44,71.15,1.6,8.9,4,4,1.0,2,76.75,3.29,0
50.61,46.33,50.14,4.28,0.47,5,5,1.0,6,55.24,-4.62,0
23.1,23.24,28.65,-0.15,-5.55,8,10,0.8,14,57.29,-34.19,1
75.08,86.25,78.08,-11.17,-3.0,3,4,0.75,5,69.73,5.35,0
93.7,99.42,96.45,-5.72,-2.75,8,13,0.6154,4,74.66,19.04,0
34.62,20.76,41.25,13.86,-6.64,6,11,0.5455,24,56.62,-22.01,1
90.22,86.51,95.25,3.71,-5.04,9,12,0.75,1,64.6,25.61,0
53.5,50.69,48.42,2.81,5.08,4,8,0.5,0,78.19,-24.69,0
58.35,49.82,64.05,8.52,-5.71,3,3,1.0,2,60.61,-2.26,0
38.79,29.51,20.84,9.29,17.96,2,4,0.5,13,64.78,-25.99,1
72.88,73.29,74.76,-0.41,-1.88,10,11,0.9091,2,57.17,15.71,0
67.89,62.58,77.4,5.3,-9.51,8,12,0.6667,5,79.05,-11.16,0
51.31,51.05,41.0,0.26,10.3,4,5,0.8,2,63.7,-12.39,0
77.16,73.65,80.75,3.5,-3.59,3,5,0.6,2,76.68,0.47,0
90.18,83.78,78.48,6.4,11.69,12,13,0.9231,3,58.97,31.21,0
91.85,94.07,100.0,-2.22,-8.34,6,9,0.6667,3,68.9,22.94,0
62.42,58.5,81.34,3.92,-18.93,7,10,0.7,3,55.23,7.19,1
56.17,49.05,58.53,7.12,-2.36,11,14,0.7857,6,78.3,-22.14,0
52.8,55.48,50.86,-2.68,1.94,7,13,0.5385,3,56.68,-3.88,0
66.6,69.48,65.32,-2.88,1.28,3,4,0.75,6,79.22,-12.62,0
56.24,46.85,56.9,9.39,-0.66,8,12,0.6667,1,61.84,-5.6,0
70.46,77.84,72.23,-7.38,-1.78,9,9,1.0,4,62.46,8.0,0
87.1,90.0,90.64,-2.91,-3.55,3,5,0.6,5,58.78,28.32,0
95.29,84.21,100.0,11.08,-10.7,6,8,0.75,0,66.06,29.24,0
65.4,59.74,56.79,5.65,8.6,3,5,0.6,0,72.87,-7.48,0
72.63,79.93,71.09,-7.29,1.54,6,11,0.5455,4,74.41,-1.78,0
90.55,86.69,77.26,3.86,13.29,12,14,0.8571,3,79.19,11.36,0
36.17,44.73,30.11,-8.56,6.06,5,11,0.4545,20,67.29,-31.12,1
40.37,35.33,46.9,5.04,-6.53,12,13,0.9231,21,55.29,-14.92,1
33.74,18.9,38.7,14.83,-4.96,12,13,0.9231,29,76.5,-42.77,1
51.9,57.7,52.38,-5.8,-0.48,1,3,0.3333,5,58.56,-6.66,0
79.67,76.52,61.86,3.15,17.82,2,4,0.5,1,68.36,11.32,0
53.96,56.79,43.21,-2.83,10.75,6,9,0.6667,5,69.19,-15.23,0
88.43,91.39,92.88,-2.96,-4.45,3,3,1.0,4,72.66,15.77,0
52.77,52.41,59.24,0.36,-6.47,3,4,0.75,3,75.04,-22.28,0
89.11,81.21,87.14,7.9,1.98,9,12,0.75,6,68.16,20.95,0
53.92,60.11,59.21,-6.19,-5.29,9,9,1.0,6,56.09,-2.17,0
20.73,28.6,8.75,-7.87,11.98,8,10,0.8,7,57.04,-36.31,1
60.59,68.66,64.29,-8.07,-3.7,8,9,0.8889,0,76.71,-16.12,0
85.65,96.84,94.67,-11.19,-9.02,13,14,0.9286,3,67.62,18.03,0
74.67,77.13,73.91,-2.46,0.77,3,4,0.75,6,77.52,-2.85,0
63.29,58.48,61.49,4.8,1.79,10,14,0.7143,4,66.65,-3.36,0
61.32,64.18,47.43,-2.86,13.88,6,9,0.6667,3,64.32,-3.0,0
69.83,70.47,77.19,-0.64,-7.36,7,8,0.875,4,66.13,3.69,0
67.24,74.18,64.05,-6.93,3.19,7,13,0.5385,0,64.98,2.27,0
50.43,40.13,35.06,10.3,15.38,3,6,0.5,6,66.34,-15.91,0
22.57,22.11,35.4,0.46,-12.83,11,12,0.9167,13,65.77,-43.2,1
41.6,46.63,36.39,-5.03,5.21,3,6,0.5,29,70.14,-28.54,1
75.61,71.37,65.91,4.24,9.7,9,10,0.9,6,76.71,-1.1,0
23.92,24.35,24.29,-0.43,-0.37,3,7,0.4286,5,58.05,-34.14,1
94.83,94.35,100.0,0.47,-19.98,9,14,0.6429,3,79.67,15.16,0
50.24,49.4,45.71,0.84,4.53,8,11,0.7273,1,63.57,-13.33,0
56.04,55.65,54.83,0.38,1.21,7,10,0.7,4,57.35,-1.31,0
71.3,72.44,69.13,-1.14,2.17,2,4,0.5,6,79.47,-8.17,0
50.84,46.83,56.01,4.01,-5.17,6,10,0.6,3,57.83,-6.99,0
94.1,90.39,92.69,3.71,1.41,7,7,1.0,4,69.43,24.67,0
57.65,67.33,48.34,-9.68,9.31,1,3,0.3333,0,76.77,-19.12,1
77.22,73.83,73.66,3.39,3.56,7,8,0.875,5,65.95,11.26,0
92.14,87.4,96.05,4.74,-3.91,2,3,0.6667,5,71.23,20.91,0
80.25,73.22,59.97,7.03,20.28,3,5,0.6,0,69.91,10.34,0
71.33,71.08,73.66,0.25,-2.32,7,10,0.7,1,66.59,4.74,0
91.44,100.0,68.53,-15.0,22.91,4,7,0.5714,1,57.72,33.72,1
38.43,39.33,54.77,-0.9,-16.34,6,13,0.4615,10,73.67,-35.24,1
75.02,76.64,62.4,-1.62,12.62,7,7,1.0,6,61.09,13.93,0
52.89,54.03,47.36,-1.13,5.53,3,4,0.75,4,70.43,-17.54,0
82.16,81.82,74.47,0.35,7.7,7,10,0.7,3,72.94,9.22,0
96.88,96.33,83.74,0.55,13.14,8,9,0.8889,1,74.99,21.89,0
30.33,33.74,25.05,-3.4,5.28,3,10,0.3,24,67.09,-36.75,1
76.41,75.66,80.7,0.75,-4.29,11,13,0.8462,6,70.95,5.46,0
78.49,75.01,66.88,3.48,11.61,7,10,0.7,0,76.0,2.49,0
66.96,62.48,73.97,4.48,-7.01,4,4,1.0,3,65.59,1.37,0
54.59,59.6,33.13,-5.01,21.45,2,4,0.5,6,60.88,-6.3,0
72.7,80.57,71.26,-7.87,1.44,6,7,0.8571,2,70.18,2.52,0
61.13,52.38,77.99,8.76,-16.85,7,11,0.6364,2,69.93,-8.79,1
71.25,61.0,75.38,10.25,-4.13,13,13,1.0,3,75.47,-4.22,0
66.19,65.17,63.67,1.01,2.52,6,6,1.0,4,77.35,-11.17,0
31.32,35.21,43.56,-3.9,-12.24,4,6,0.6667,21,75.8,-44.48,1
53.36,61.43,45.12,-8.07,8.24,7,10,0.7,2,68.32,-14.97,0
65.98,61.81,46.52,4.17,19.47,4,4,1.0,5,63.34,2.64,0
54.26,53.6,50.48,0.66,3.78,7,11,0.6364,5,65.57,-11.31,0
50.06,64.07,55.05,-14.01,-4.99,8,9,0.8889,2,58.81,-8.75,0
94.5,87.22,93.08,7.28,1.42,7,7,1.0,5,61.43,33.07,0
91.5,90.57,66.85,0.93,24.66,4,6,0.6667,4,55.9,35.6,0
62.63,66.86,65.02,-4.23,-2.39,7,13,0.5385,0,67.74,-5.11,0
63.43,60.73,68.73,2.69,-5.31,7,8,0.875,4,64.78,-1.35,0
69.06,55.91,62.26,13.15,6.81,7,10,0.7,5,73.04,-3.97,0
27.42,30.7,17.61,-3.28,9.81,1,5,0.2,6,60.59,-33.17,1
77.51,76.77,70.41,0.74,7.09,4,8,0.5,3,70.16,7.35,0
51.44,54.54,42.12,-3.1,9.32,3,5,0.6,5,58.66,-7.22,0
53.27,52.93,47.98,0.34,5.3,12,14,0.8571,6,67.65,-14.38,0
55.07,62.33,49.07,-7.26,6.0,4,4,1.0,2,64.66,-9.59,0
59.21,59.68,74.01,-0.47,-14.8,2,4,0.5,6,72.38,-13.17,0
61.48,65.16,64.51,-3.68,-3.02,8,14,0.5714,3,70.83,-9.35,0
28.14,31.7,33.22,-3.56,-5.07,3,6,0.5,10,65.65,-37.51,1
51.03,59.23,53.28,-8.2,-2.25,7,9,0.7778,3,67.04,-16.01,0
33.55,34.94,44.01,-1.4,-10.46,4,8,0.5,14,72.02,-38.48,1
41.66,36.05,46.6,5.61,-4.94,4,7,0.5714,22,56.62,-14.95,1
33.0,28.1,46.08,4.9,-13.08,3,7,0.4286,27,58.73,-25.73,1
50.26,45.87,62.65,4.39,-12.38,3,5,0.6,4,64.86,-14.6,0
87.68,91.7,77.28,-4.01,10.4,2,3,0.6667,3,56.91,30.77,0
94.66,89.8,100.0,4.85,-7.1,10,14,0.7143,6,71.48,23.17,0
80.56,84.4,78.88,-3.84,1.68,10,10,1.0,2,57.64,22.92,0
71.28,66.52,59.0,4.76,12.28,5,5,1.0,0,78.91,-7.64,0
66.96,72.84,80.24,-5.89,-13.28,5,5,1.0,2,59.63,7.33,0
23.44,16.33,16.25,7.11,7.19,5,12,0.4167,19,57.05,-33.61,1
64.18,60.54,51.07,3.64,13.11,4,4,1.0,1,55.26,8.92,0
62.51,56.74,63.04,5.77,-0.53,11,12,0.9167,3,62.32,0.19,0
78.89,69.72,73.81,9.17,5.08,9,14,0.6429,2,56.09,22.8,0
40.95,42.38,48.74,-1.43,-7.79,9,14,0.6429,29,59.09,-18.14,1
94.56,94.83,74.13,-0.28,20.43,1,3,0.3333,2,71.79,22.77,0
92.2,90.39,100.0,1.81,-16.59,4,7,0.5714,5,66.51,25.69,0
84.97,80.99,73.23,3.98,11.73,12,13,0.9231,5,79.62,5.35,0
52.07,52.64,52.93,-0.57,-0.86,5,6,0.8333,1,60.34,-8.27,0
90.35,88.5,73.33,1.85,17.02,3,3,1.0,6,57.65,32.71,0
23.28,17.27,21.23,6.01,2.05,6,7,0.8571,12,66.54,-43.26,1
28.63,29.89,37.14,-1.25,-8.51,1,12,0.0833,15,62.77,-34.14,1
89.13,79.86,79.67,9.27,9.45,9,11,0.8182,3,55.13,33.99,0
51.69,56.4,45.21,-4.71,6.48,2,4,0.5,0,71.96,-20.26,0
90.41,89.03,100.0,1.39,-33.52,10,12,0.8333,6,66.22,24.2,0
92.54,100.0,77.97,-10.19,14.57,5,7,0.7143,6,55.08,37.46,0
67.06,70.37,41.48,-3.31,25.58,3,5,0.6,1,69.04,-1.97,0
78.97,72.82,73.04,6.14,5.93,11,14,0.7857,2,67.46,11.51,0
22.05,15.35,28.54,6.7,-6.49,4,8,0.5,8,67.93,-45.88,1
57.08,61.38,75.74,-4.3,-18.67,4,4,1.0,3,56.56,0.51,1
86.8,92.24,76.23,-5.44,10.57,1,3,0.3333,5,70.9,15.89,0
55.68,48.8,58.72,6.88,-3.04,13,13,1.0,0,78.76,-23.08,0
39.79,35.49,23.04,4.31,16.76,5,8,0.625,21,78.24,-38.45,1
52.69,55.16,47.41,-2.47,5.29,4,7,0.5714,4,67.02,-14.33,0
94.99,89.54,80.71,5.46,14.28,6,9,0.6667,2,65.92,29.07,0
86.74,84.62,97.72,2.13,-10.98,8,14,0.5714,6,78.07,8.68,0
50.64,45.33,57.57,5.32,-6.93,12,12,1.0,6,66.24,-15.6,0
53.14,56.29,53.28,-3.16,-0.14,4,6,0.6667,1,69.05,-15.91,0
65.13,66.14,64.02,-1.01,1.11,4,4,1.0,3,58.2,6.93,0
68.89,65.96,63.33,2.92,5.55,10,11,0.9091,1,79.49,-10.6,0
45.38,48.72,56.02,-3.34,-10.64,0,5,0.0,25,70.21,-24.83,1
55.48,58.04,60.89,-2.56,-5.42,7,12,0.5833,6,72.09,-16.62,0
97.06,100.0,100.0,-2.95,-13.97,7,13,0.5385,6,72.7,24.37,0
53.92,60.36,83.14,-6.43,-29.21,4,7,0.5714,1,71.6,-17.68,1
23.41,24.15,12.22,-0.74,11.19,5,9,0.5556,16,56.56,-33.14,1
88.71,92.59,89.3,-3.88,-0.59,3,3,1.0,4,59.12,29.59,0
86.32,95.0,85.37,-8.68,0.95,6,7,0.8571,5,59.04,27.28,0
95.44,85.94,91.64,9.5,3.8,3,3,1.0,1,56.63,38.81,0
93.64,94.73,61.71,-1.08,31.93,7,8,0.875,6,75.55,18.09,0
87.23,98.21,85.22,-10.98,2.01,8,14,0.5714,3,61.91,25.32,1
80.85,97.41,70.21,-16.56,10.63,7,8,0.875,1,62.92,17.93,0
93.49,95.5,97.53,-2.01,-4.04,10,10,1.0,3,75.51,17.99,0
88.33,86.29,93.76,2.04,-5.42,5,9,0.5556,6,67.13,21.2,0
45.38,43.04,53.11,2.34,-7.72,0,5,0.0,8,72.98,-27.6,1
53.81,58.64,47.85,-4.83,5.96,9,11,0.8182,5,68.52,-14.71,0
65.09,57.19,66.27,7.9,-1.18,8,14,0.5714,4,61.36,3.73,0
92.23,100.0,90.62,-9.74,1.62,9,14,0.6429,5,72.98,19.25,0
93.46,98.16,87.37,-4.7,6.09,7,13,0.5385,6,70.52,22.93,0
90.39,87.97,90.63,2.42,-0.24,3,5,0.6,3,73.48,16.91,0
31.02,28.2,41.09,2.82,-10.07,3,3,1.0,27,61.98,-30.96,1
83.32,94.94,82.06,-11.62,1.26,6,7,0.8571,0,62.6,20.72,0
95.04,92.93,90.15,2.1,4.89,3,5,0.6,6,61.51,33.53,0
82.2,87.99,80.69,-5.8,1.5,9,10,0.9,4,68.67,13.53,0
96.89,98.01,100.0,-1.13,-9.43,11,11,1.0,1,79.16,17.73,0
44.77,39.71,39.82,5.06,4.95,8,9,0.8889,27,68.32,-23.55,1
71.59,73.87,74.41,-2.28,-2.82,6,6,1.0,0,61.05,10.55,0
36.41,31.61,52.57,4.8,-16.16,0,5,0.0,18,73.58,-37.17,1
51.6,49.03,42.61,2.57,8.99,4,8,0.5,6,70.65,-19.05,0
90.23,93.58,100.0,-3.35,-16.92,12,13,0.9231,1,69.33,20.9,0
62.11,62.49,77.33,-0.38,-15.22,4,7,0.5714,0,77.74,-15.63,1
89.81,88.67,79.8,1.14,10.01,8,9,0.8889,5,65.86,23.94,0
78.89,79.72,69.36,-0.82,9.53,10,10,1.0,2,66.13,12.76,0
80.7,85.57,76.81,-4.87,3.89,4,6,0.6667,3,67.19,13.51,0
95.63,86.75,89.51,8.87,6.11,3,3,1.0,5,56.77,38.85,0
67.37,71.04,67.74,-3.67,-0.37,8,10,0.8,3,66.74,0.63,0
72.7,76.08,49.92,-3.38,22.78,6,6,1.0,0,67.91,4.79,0
20.27,22.12,27.79,-1.86,-7.52,4,7,0.5714,21,60.46,-40.19,1
52.13,47.15,57.95,4.98,-5.82,1,3,0.3333,0,57.85,-5.72,0
74.36,74.47,63.59,-0.11,10.76,12,13,0.9231,2,66.26,8.09,0
57.93,49.05,65.02,8.88,-7.09,10,10,1.0,4,61.45,-3.52,0
64.24,60.12,60.05,4.13,4.2,9,9,1.0,6,56.49,7.75,0
82.96,84.57,91.87,-1.61,-8.91,4,6,0.6667,4,58.03,24.93,0
86.06,82.99,87.74,3.07,-1.68,7,11,0.6364,1,77.2,8.86,0
74.1,75.91,77.28,-1.81,-3.17,6,8,0.75,4,77.56,-3.46,0
38.69,48.87,45.14,-10.18,-6.46,2,3,0.6667,17,64.98,-26.3,1
88.79,89.83,100.0,-1.05,-14.85,6,10,0.6,5,76.14,12.64,0
70.64,77.8,61.45,-7.16,9.19,5,7,0.7143,1,69.76,0.88,0
33.45,20.3,47.23,13.14,-13.79,6,11,0.5455,12,77.24,-43.79,1
32.95,33.42,36.41,-0.47,-3.46,6,10,0.6,6,59.17,-26.22,1
56.84,58.69,49.05,-1.85,7.8,5,6,0.8333,4,67.93,-11.09,0
50.32,42.68,55.3,7.64,-4.98,7,13,0.5385,0,71.93,-21.61,0
67.5,56.15,72.12,11.35,-4.62,2,4,0.5,5,55.69,11.81,0
96.27,98.89,97.37,-2.62,-1.1,6,8,0.75,2,59.0,37.27,0
46.47,57.29,50.02,-10.82,-3.55,1,7,0.1429,9,78.9,-32.43,1
92.64,85.6,88.95,7.04,3.7,1,3,0.3333,4,70.17,22.47,0
